,СОШ,Наличие
496,МКОУ ДАРВАГСКАЯ СОШ №2,YES
497,МКОУ ДАРКУШКАЗМАЛЯРСКАЯ СОШ,YES
498,МКОУ ДАХАДАЕВСКАЯ ООШ,YES
499,МКОУ ДГ,
500,МКОУ ДЕГВИНСКАЯ СОШ,YES
501,МКОУ ДЕЙБУКСКАЯ ООШ,YES
502,МКОУ ДЕЛИЧОБАНСКАЯ СОШ,
503,МКОУ ДЖАБИНСКАЯ СОШ,YES
504,МКОУ ДЖАВАНКЕНТСКАЯ СОШ,YES
505,МКОУ ДЖАВГАТСКАЯ СОШ,YES
506,МКОУ ДЖАЛГАНСКАЯ СОШ,
507,МКОУ ДЖЕМИКЕНТСКАЯ НАЧАЛЬНАЯ ШКОЛА,
508,МКОУ ДЖЕМИКЕНТСКАЯ СОШ,
509,МКОУ ДЖЕПЕЛЬСКАЯ ООШ,YES
510,МКОУ ДЖИБАХНИНСКАЯ СОШ,YES
511,МКОУ ДЖИНАБИНСКАЯ СОШ,YES
512,МКОУ ДЖИРАБАЧИНСКАЯ СОШ,YES
513,МКОУ ДЖУЛИНСКАЯ СОШ,YES
514,МКОУ ДЖУЛЬДЖАГСКАЯ СОШ,YES
515,МКОУ ДЖУРМАЧИНСКАЯ ООШ,YES
516,МКОУ ДЗЕРЖИНСКАЯ СОШ,YES
517,МКОУ ДЗИЛЕБКИНСКАЯ ООШ,YES
518,МКОУ ДИБГАЛИКСКАЯ СОШ,YES
519,МКОУ ДИРБАГСКАЯ ООШ,YES
520,МКОУ ДИТУНШИМАХИНСКАЯ ООШ,YES
521,МКОУ ДМЛ им. Гаджиева,
522,МКОУ ДОРГЕЛИНСКАЯ СОШ №2,YES
523,МКОУ ДРУЖБИНСКАЯ СОШ,YES
524,МКОУ ДСОШ ,
525,МКОУ ДСОШ ИМЕНИ С. РАБАДАНОВА,
526,МКОУ ДСОШ,
527,МКОУ Дубкинская СОШ им. Салимханова,YES
528,МКОУ ДУБРИМАХИНСКАЯ СОШ,YES
529,МКОУ ДУЛДУГСКАЯ СОШ,YES
530,МКОУ Дурангинская СОШ,YES
531,МКОУ Дусрахская СОШ,YES
532,МКОУ ДУЧИНСКАЯ СОШ №1,YES
