МКОУ ЧУЛАТСКАЯ СОШ
МКОУ ЧУМЛИНСКАЯ СОШ
МКОУ ЧУНИНСКАЯ СОШ
МКОУ ЧУРТАХСКАЯ ООШ
МКОУ ЧУХВЕРКЕНТСКАЯ СОШ
МКОУ ШАГАДИНСКАЯ СОШ
МКОУ ШАНГОДИНСКАЯ СОШ
МКОУ Шаумяновская ООШ
МКОУ ШИДИБСКАЯ СОШ
МКОУ ШИЛЕНСКАЯ СОШ
МКОУ ШИМИХЮРСКАЯ СОШ
МКОУ ШИНКБАЛАКАДИНСКАЯ ООШ
МКОУ ШИХИКЕНТСКАЯ СОШ
МКОУ ШКОЛА №2 ИМ. З.Х.ХИЗРИЕВА
МКОУ ШКОЛА-САД НИЖНИЙ ДЖАЛГАН
МКОУ ШОВКРИНСКАЯ ООШ
МКОУ ШОДРОДИНСКАЯ СОШ
МКОУ ШСОШ
МКОУ ШТУЛЬСКАЯ ООШ
МКОУ ШУЛАНИНСКАЯ СОШ
МКОУ ШУШАНОВСКАЯ СОШ
МКОУ ШУШИНСКАЯ СОШ
МКОУ ЩАРИНСКАЯ СОШ
МКОУ ЭБДАЛАИНСКАЯ СОШ
МКОУ ЭДИГЕЙСКАЯ СОШ
МКОУ ЭМИНХЮРСКАЯ СОШ
МКОУ ЮРКОВСКАЯ СОШ
МКОУ ЮХАРИКАРТАССКАЯ ООШ
МКОУ ЮХАРИСТАЛЬСКАЯ СОШ
МКОУ Ю-ЯРАКСКАЯ ООШ ИМ.А.М.ЮСУФОВА
МКОУ ЯМАНСУЙСКАЯ СОШ
МКОУ ЯНГИКЕНТСКАЯ СОШ
МКОУ ЯРУКВАЛАРСКАЯ ООШ
МКОУ Яснополянская СОШ
МКОУКШИ ДКК-1
МОУ КОМСОМОЛЬСКАЯ СОШ
МОУ МУНИНСКАЯ СОШ
Усухчайская СОШ
ФУРДАГСКАЯ НШ
МБОУ АНЧИКСКАЯ СОШ
МБОУ Атланаульская гим-ия И. Казака
МБОУ Атланаульская гим-я
МБОУ Бугленская СООШ с. Буглен
МБОУ Гимназия 1 г.Дербент
МБОУ Гимназия 11 г. Махачкала
МБОУ Гимназия 13 г. Махачкала
МБОУ Гимназия 17 г. Махачкала
МБОУ Гимназия 28 г. Махачкала
МБОУ Гимназия 4 г. Махачкала
МБОУ ГИМНАЗИЯ №1 ИМЕНИ С.М.ОМАРОВА
МБОУ ГИМНАЗИЯ №1
МБОУ ГИМНАЗИЯ №3
МБОУ Гимназия №3 г. Дербент
МБОУ Гимназия №33 г. Махачкала
МБОУ Гимназия №35 г. Махачкала
МБОУ Гимназия №37 г. Махачкала
МБОУ Гимназия №7 г. Махачкала
МБОУ ГИМНАЗИЯ ПЕРСПЕКТИВА
МБОУ ГКМ г. Дербент
МБОУ Дербентская гимназия №2
МБОУ Дербентский КК В.А. Эмирова
МБОУ Кадетская ШИ 1-ый Даг-ий КК
МБОУ КАРАТИНСКАЯ ОБЩЕОБР. ГИМНАЗИЯ
МБОУ КАСПИЙСКИЙ ЛИЦЕЙ 8
МБОУ КМШИ
МБОУ КСОШ №3
МБОУ Махач-кий многопрофильный лицей 39
МБОУ Многопроф-ая гим-ия 6 г.Махачкала
МБОУ Многопроф-я гим-ия 30_г. Махачкала
МБОУ Многопроф-я гим-ия 38_г. Махачкала
МБОУ Многопроф-я гим-ия 5_г. Махачкала
МБОУ Н.Дженгутайская СОШ Буйнакск. р-он
МБОУ Нижнеказани-ая СОШ 3 Буйн-ий р.
МБОУ Нижнеказан-кий многопроф-ый лицей
МБОУ Новокаякентская школа детсад_1_
МБОУ ООШ 23 г. Махачкала с. Остров-Чечень
МБОУ СОШ 3 г. Каспийск
МБОУ СОШ 1 г. Дербент
МБОУ СОШ 1 г. Каспийск
МБОУ СОШ 10 г. Махачкала
МБОУ СОШ 11 г. Дербент
МБОУ СОШ 12 г. Дербент
МБОУ СОШ 13 г. Дербент
МБОУ СОШ 14 г. Махачкала
МБОУ СОШ 15 г. Дербент
МБОУ СОШ 15_им.Цахаева г. Махачкала
МБОУ СОШ 16 г. Дербент
МБОУ СОШ 16_г. Махачкала
МБОУ СОШ 17 г. Дербент
МБОУ СОШ 18 г. Махачкала
МБОУ СОШ 20 им. Р. Гамзатова г.Дербент
МБОУ СОШ 21 г. Дербент РД
МБОУ СОШ 24 Махачкала
МБОУ СОШ 25 г. Махачкала
МБОУ СОШ 29
МБОУ СОШ 3 г. Дербент
МБОУ СОШ 31 г. Махачкала
МБОУ СОШ 32 г.Махачкала
